	CGRS	Probability
x539	2.646855827	0.573
x540	2.641630183	0.574
x541	2.636402144	0.575
x542	2.631170923	0.576
x543	2.625938254	0.577
x544	2.620701721	0.578
x545	2.615463233	0.579
x546	2.610222307	0.58
x547	2.604977831	0.581
x548	2.599731783	0.582
x549	2.594481777	0.583
x550	2.589229495	0.584
x551	2.583974803	0.585
x552	2.578716111	0.586
x553	2.573455719	0.587
x554	2.568191359	0.588
x555	2.562924306	0.589
x556	2.557654964	0.59
x557	2.552381074	0.591
x558	2.54710535	0.592
x559	2.541825744	0.593
x560	2.536542925	0.594
x561	2.531258039	0.595
x562	2.525967945	0.596
x563	2.520675875	0.597
x564	2.515380128	0.598
x565	2.51008052	0.599
x566	2.504778872	0.6
x567	2.49947186	0.601
x568	2.494162407	0.602
x569	2.488849612	0.603
x570	2.483532166	0.604
x571	2.478212527	0.605
x572	2.47288786	0.606
x573	2.467559956	0.607
x574	2.4622292	0.608
x575	2.45689284	0.609
x576	2.451554126	0.61
x577	2.446210884	0.611
x578	2.440863434	0.612
x579	2.435513553	0.613
x580	2.430157413	0.614
x581	2.42479851	0.615
x582	2.419435764	0.616
x583	2.414067641	0.617
x584	2.408696915	0.618
x585	2.403320646	0.619
x586	2.397940407	0.62
x587	2.392557219	0.621
x588	2.387167265	0.622
x589	2.381774525	0.623
x590	2.376377182	0.624
x591	2.370974426	0.625
x592	2.365568791	0.626
x593	2.36015687	0.627
x594	2.354740913	0.628
x595	2.349321541	0.629
x596	2.343895052	0.63
x597	2.338465486	0.631
x598	2.333030892	0.632
x599	2.327590479	0.633
x600	2.322146886	0.634
x601	2.316696637	0.635
x602	2.311241876	0.636
x603	2.305783635	0.637
x604	2.300317488	0.638
x605	2.294847946	0.639
x606	2.289373393	0.64
x607	2.283892134	0.641
x608	2.278407366	0.642
x609	2.27291606	0.643
x610	2.267419238	0.644
x611	2.26191879	0.645
x612	2.256410285	0.646
x613	2.250897439	0.647
x614	2.245380166	0.648
x615	2.239854691	0.649
x616	2.234325349	0.65
x617	2.2287902	0.651
x618	2.223247875	0.652
x619	2.217701551	0.653
x620	2.212148072	0.654
x621	2.206588404	0.655
x622	2.201024603	0.656
x623	2.195452334	0.657
x624	2.189874819	0.658
x625	2.184292982	0.659
x626	2.178701509	0.66
x627	2.173105632	0.661
x628	2.167504306	0.662
x629	2.16189409	0.663
x630	2.156279321	0.664
x631	2.150658037	0.665
x632	2.145028541	0.666
x633	2.139394337	0.667
x634	2.13375262	0.668
x635	2.128103293	0.669
x636	2.122449098	0.67
x637	2.116786467	0.671
x638	2.111116744	0.672
x639	2.105441986	0.673
x640	2.099757958	0.674
x641	2.094067259	0.675
x642	2.088371353	0.676
x643	2.082665438	0.677
x644	2.07695317	0.678
x645	2.071235515	0.679
x646	2.065507218	0.68
x647	2.05977277	0.681
x648	2.054032751	0.682
x649	2.048281573	0.683
x650	2.04252432	0.684
x651	2.036761304	0.685
x652	2.030986739	0.686
x653	2.02520604	0.687
x654	2.019419379	0.688
x655	2.013620918	0.689
x656	2.007816114	0.69
x657	2.002005141	0.691
x658	1.996182268	0.692
x659	1.990352684	0.693
x660	1.984516717	0.694
x661	1.97866891	0.695
x662	1.972813852	0.696
x663	1.966952191	0.697
x664	1.961078923	0.698
x665	1.955197681	0.699
x666	1.949309605	0.7
x667	1.943410343	0.701
x668	1.937502186	0.702
x669	1.931586959	0.703
x670	1.925661163	0.704
x671	1.919725342	0.705
x672	1.913782206	0.706
x673	1.907829331	0.707
x674	1.901865077	0.708
x675	1.895893254	0.709
x676	1.889912748	0.71
x677	1.883919272	0.711
x678	1.877917965	0.712
x679	1.871908763	0.713
x680	1.865885761	0.714
x681	1.85985415	0.715
x682	1.85381437	0.716
x683	1.847762328	0.717
x684	1.841699574	0.718
x685	1.835628365	0.719
x686	1.829546708	0.72
x687	1.823451946	0.721
x688	1.817348437	0.722
x689	1.811236103	0.723
x690	1.805108927	0.724
x691	1.798972222	0.725
x692	1.792826383	0.726
x693	1.786668122	0.727
x694	1.780497301	0.728
x695	1.774317028	0.729
x696	1.768127081	0.73
x697	1.761921199	0.731
x698	1.755705538	0.732
x699	1.749480006	0.733
x700	1.743241386	0.734
x701	1.736989356	0.735
x702	1.730727111	0.736
x703	1.724454554	0.737
x704	1.718165864	0.738
x705	1.71186589	0.739
x706	1.705555242	0.74
x707	1.699232385	0.741
x708	1.692893636	0.742
x709	1.686543842	0.743
x710	1.680182894	0.744
x711	1.67380758	0.745
x712	1.667417556	0.746
x713	1.661015988	0.747
x714	1.654602761	0.748
x715	1.648173519	0.749
x716	1.641730205	0.75
x717	1.635274825	0.751
x718	1.628807255	0.752
x719	1.622322584	0.753
x720	1.615823883	0.754
x721	1.609312565	0.755
x722	1.602788499	0.756
x723	1.596246868	0.757
x724	1.589690588	0.758
x725	1.583121116	0.759
x726	1.576538312	0.76
x727	1.569938157	0.761
x728	1.563322017	0.762
x729	1.55669208	0.763
x730	1.550048197	0.764
x731	1.543387922	0.765
x732	1.536709542	0.766
x733	1.530016731	0.767
x734	1.52330933	0.768
x735	1.516587182	0.769
x736	1.509844204	0.77
x737	1.503086008	0.771
x738	1.496312548	0.772
x739	1.489523657	0.773
x740	1.482716699	0.774
x741	1.4758905	0.775
x742	1.469048331	0.776
x743	1.462190014	0.777
x744	1.455315369	0.778
x745	1.448420431	0.779
x746	1.441506791	0.78
x747	1.434576252	0.781
x748	1.427628624	0.782
x749	1.420663712	0.783
x750	1.413677657	0.784
x751	1.406671983	0.785
x752	1.399648422	0.786
x753	1.39260677	0.787
x754	1.385546818	0.788
x755	1.378466414	0.789
x756	1.371363846	0.79
x757	1.364242341	0.791
x758	1.357101679	0.792
x759	1.349941637	0.793
x760	1.342761987	0.794
x761	1.335558952	0.795
x762	1.328334297	0.796
x763	1.321089352	0.797
x764	1.313823879	0.798
x765	1.306537634	0.799
x766	1.299230372	0.8
x767	1.291899302	0.801
x768	1.284544498	0.802
x769	1.277167945	0.803
x770	1.269769385	0.804
x771	1.262348554	0.805
x772	1.254905184	0.806
x773	1.247439005	0.807
x774	1.23994686	0.808
x775	1.232429936	0.809
x776	1.224889409	0.81
x777	1.217324995	0.811
x778	1.209736403	0.812
x779	1.202123339	0.813
x780	1.194485504	0.814
x781	1.186822596	0.815
x782	1.179131791	0.816
x783	1.171414142	0.817
x784	1.16367055	0.818
x785	1.155900696	0.819
x786	1.148104257	0.82
x787	1.140280904	0.821
x788	1.132430305	0.822
x789	1.124552123	0.823
x790	1.116646014	0.824
x791	1.108711631	0.825
x792	1.100747387	0.826
x793	1.092752686	0.827
x794	1.08472873	0.828
x795	1.076675156	0.829
x796	1.068591592	0.83
x797	1.060477662	0.831
x798	1.052332985	0.832
x799	1.044157174	0.833
x800	1.035949837	0.834
x801	1.027710575	0.835
x802	1.019438985	0.836
x803	1.011134657	0.837
x804	1.002797176	0.838
x805	0.99442612	0.839
x806	0.986021061	0.84
x807	0.977581566	0.841
x808	0.969107194	0.842
x809	0.9605975	0.843
x810	0.952052031	0.844
x811	0.943470327	0.845
x812	0.934851922	0.846
x813	0.926196346	0.847
x814	0.917503117	0.848
x815	0.90877175	0.849
x816	0.900001753	0.85
x817	0.891192625	0.851
x818	0.882343859	0.852
x819	0.87345494	0.853
x820	0.864525348	0.854
x821	0.855554552	0.855
x822	0.846542016	0.856
x823	0.837487196	0.857
x824	0.82838954	0.858
x825	0.819248487	0.859
x826	0.81006347	0.86
x827	0.800833914	0.861
x828	0.791559233	0.862
x829	0.782238835	0.863
x830	0.77287212	0.864
x831	0.763458478	0.865
x832	0.753997291	0.866
x833	0.744485793	0.867
x834	0.734923417	0.868
x835	0.725311322	0.869
x836	0.715648848	0.87
x837	0.705935327	0.871
x838	0.696170079	0.872
x839	0.686352418	0.873
x840	0.676481644	0.874
x841	0.666555349	0.875
x842	0.656569805	0.876
x843	0.646528677	0.877
x844	0.636431221	0.878
x845	0.62627668	0.879
x846	0.616064288	0.88
x847	0.605791176	0.881
x848	0.595452398	0.882
x849	0.585053043	0.883
x850	0.574592292	0.884
x851	0.564069316	0.885
x852	0.553479672	0.886
x853	0.542819543	0.887
x854	0.532094225	0.888
x855	0.521302833	0.889
x856	0.510442436	0.89
x857	0.499504405	0.891
x858	0.488497125	0.892
x859	0.47741965	0.893
x860	0.466264613	0.894
x861	0.455030295	0.895
x862	0.443722383	0.896
x863	0.432337402	0.897
x864	0.420864246	0.898
x865	0.40931391	0.899
x866	0.397682984	0.9
x867	0.385958507	0.901
x868	0.374153065	0.902
x869	0.362259098	0.903
x870	0.35027009	0.904
x871	0.338196121	0.905
x872	0.326020858	0.906
x873	0.313753341	0.907
x874	0.301389078	0.908
x875	0.288920597	0.909
x876	0.276357686	0.91
x877	0.263680506	0.911
x878	0.250907705	0.912
x879	0.238014856	0.913
x880	0.225021868	0.914
x881	0.211904575	0.915
x882	0.198682785	0.916
x883	0.185329689	0.917
x884	0.171865504	0.918
x885	0.158269284	0.919
x886	0.144550357	0.92
x887	0.130701458	0.921
x888	0.11671483	0.922
x889	0.102598974	0.923
x890	0.088335347	0.924
x891	0.073930294	0.925
x892	0.059383695	0.926
x893	0.044678275	0.927
x894	0.029819209	0.928
x895	0.014805184	0.929
x896	-0.000371064	0.93
x897	-0.015722741	0.931
x898	-0.031243972	0.932
x899	-0.04694023	0.933
x900	-0.062817166	0.934
x901	-0.07888062	0.935
x902	-0.095142864	0.936
x903	-0.111603409	0.937
x904	-0.128267903	0.938
x905	-0.14514293	0.939
x906	-0.162235288	0.94
x907	-0.179552	0.941
x908	-0.197100317	0.942
x909	-0.214887727	0.943
x910	-0.232921963	0.944
x911	-0.25121101	0.945
x912	-0.269764768	0.946
x913	-0.288598618	0.947
x914	-0.307714868	0.948
x915	-0.327122688	0.949
x916	-0.346831545	0.95
x917	-0.366864931	0.951
x918	-0.387226741	0.952
x919	-0.407922441	0.953
x920	-0.428986995	0.954
x921	-0.45041269	0.955
x922	-0.472232524	0.956
x923	-0.494446643	0.957
x924	-0.517093974	0.958
x925	-0.540173436	0.959
x926	-0.563713296	0.96
x927	-0.58774438	0.961
x928	-0.612279085	0.962
x929	-0.637344837	0.963
