GeneSymbol	APOD	CCDC92	CYS1	GSDME	ST8SIA5	STARD3NL	TMEM245	TSPYL5	VAT1
Sample084	10.46301051	7.713331192	5.268059804	7.585946227	4.033832202	10.04970834	9.019374436	9.57112655	8.198465523
Sample085	5.595338591	7.081371997	4.609373477	7.372563207	3.798861714	9.961550767	8.614186801	6.654096485	8.097575335
Sample086	5.151261993	8.215312472	5.711040019	9.153131995	4.140260412	10.23226949	8.38303396	10.48505781	8.867994599
Sample087	7.33619813	8.023397844	4.115155762	9.003061012	4.010681057	9.985153556	8.39505745	6.638688757	9.434136171
Sample088	5.601825685	7.60291358	4.043445357	7.617120999	4.152968073	10.2950578	9.682419359	6.68279353	8.422566115
Sample089	4.668008311	7.734102012	3.680803117	7.128767643	4.109274369	9.97421559	8.774538136	5.108341579	7.503730061
Sample090	5.575087559	7.920731934	3.754449948	8.70613382	4.175412764	10.41050283	8.752133395	7.240398978	8.294032053
Sample091	8.938499905	7.610473563	6.118672694	8.959709102	4.147277802	10.54245923	9.053331976	8.239584931	8.840861831
Sample092	7.161681374	8.103847873	7.039699675	8.138199593	3.874519945	9.763242104	10.33082098	8.747666766	8.175214012
Sample093	4.495972999	7.330410318	3.577326108	6.718360209	4.222595051	7.925735101	8.799987769	5.454892607	7.855608071
Sample094	5.679815055	7.232748698	3.912464318	6.770488708	3.991766267	9.878822514	9.070663672	8.58146358	7.664035691
Sample095	10.13370873	7.09143322	3.857901638	9.082192283	3.919290283	10.51096396	8.784639049	10.03772537	7.724292087
Sample096	5.036749132	7.443331257	3.919804189	9.418657372	4.043675769	10.25896268	8.480428363	6.784139914	8.44868552
Sample097	5.819343104	8.408375216	3.535941878	6.154206075	4.099660897	10.11032833	9.340505732	7.288481596	8.861576757
Sample098	5.081911678	7.295295927	4.542682962	8.816603692	4.028932943	10.13774062	8.853963712	5.71890645	8.934489319
Sample099	8.218468128	7.855061605	6.567357762	8.53302727	3.719256582	10.08539645	10.64774011	7.838503298	8.608376402
Sample100	8.736238415	8.873301581	7.520064015	8.86894059	3.73491782	10.11041476	10.79771949	9.504674287	9.149678488
Sample101	4.835596195	7.489364223	6.740672927	7.209535119	4.022262052	9.926908466	9.047247707	6.618575311	8.119773808
