	CGRS	Probability
x338	4.687052962	0.485001
x339	4.681912625	0.486001
x340	4.67677297	0.487001
x341	4.671633533	0.488001
x342	4.66649462	0.489001
x343	4.661356008	0.490001
x344	4.656217669	0.491001
x345	4.651079733	0.492001
x346	4.645941934	0.493001
x347	4.640804465	0.494001
x348	4.635667135	0.495001
x349	4.630529964	0.496001
x350	4.625392953	0.497001
x351	4.620255998	0.498001
x352	4.615119147	0.499001
x353	4.609982305	0.500001
x354	4.604845475	0.501001
x355	4.599708596	0.502001
x356	4.594571692	0.503001
x357	4.589434631	0.504001
x358	4.584297484	0.505001
x359	4.579160168	0.506001
x360	4.574022627	0.507001
x361	4.568884966	0.508001
x362	4.563746883	0.509001
x363	4.558608638	0.510001
x364	4.553470008	0.511001
x365	4.548331013	0.512001
x366	4.543191761	0.513001
x367	4.538051867	0.514001
x368	4.532911729	0.515001
x369	4.527770956	0.516001
x370	4.522629711	0.517001
x371	4.51748804	0.518001
x372	4.512345537	0.519001
x373	4.507202709	0.520001
x374	4.502058964	0.521001
x375	4.49691467	0.522001
x376	4.491769749	0.523001
x377	4.486623837	0.524001
x378	4.481477517	0.525001
x379	4.476329968	0.526001
x380	4.47118182	0.527001
x381	4.466032818	0.528001
x382	4.460882691	0.529001
x383	4.45573207	0.530001
x384	4.450579885	0.531001
x385	4.445427073	0.532001
x386	4.440273157	0.533001
x387	4.435118001	0.534001
x388	4.429962262	0.535001
x389	4.424804609	0.536001
x390	4.419646315	0.537001
x391	4.41448665	0.538001
x392	4.409325645	0.539001
x393	4.404163876	0.540001
x394	4.399000005	0.541001
x395	4.393835404	0.542001
x396	4.388669149	0.543001
x397	4.383501465	0.544001
x398	4.378332827	0.545001
x399	4.373161906	0.546001
x400	4.36799016	0.547001
x401	4.362816475	0.548001
x402	4.357641272	0.549001
x403	4.352464922	0.550001
x404	4.347286104	0.551001
x405	4.342106367	0.552001
x406	4.336924405	0.553001
x407	4.331740831	0.554001
x408	4.326555922	0.555001
x409	4.321368352	0.556001
x410	4.316179763	0.557001
x411	4.310988675	0.558001
x412	4.305795865	0.559001
x413	4.300601546	0.560001
x414	4.295404353	0.561001
x415	4.290206037	0.562001
x416	4.28500497	0.563001
x417	4.279802043	0.564001
x418	4.274597459	0.565001
x419	4.269389757	0.566001
x420	4.264180826	0.567001
x421	4.25896892	0.568001
x422	4.253754982	0.569001
x423	4.248539271	0.570001
x424	4.243320159	0.571001
x425	4.238099706	0.572001
x426	4.232876097	0.573001
x427	4.227650233	0.574001
x428	4.222422531	0.575001
x429	4.217191089	0.576001
x430	4.211958188	0.577001
x431	4.206722007	0.578001
x432	4.201483286	0.579001
x433	4.19624272	0.580001
x434	4.190998009	0.581001
x435	4.185751716	0.582001
x436	4.180502086	0.583001
x437	4.175249557	0.584001
x438	4.169995248	0.585001
x439	4.164736308	0.586001
x440	4.159475658	0.587001
x441	4.154211697	0.588001
x442	4.148944385	0.589001
x443	4.143675307	0.590001
x444	4.138401298	0.591001
x445	4.133125303	0.592001
x446	4.127846121	0.593001
x447	4.122563029	0.594001
x448	4.117278033	0.595001
x449	4.111988206	0.596001
x450	4.106695852	0.597001
x451	4.101400553	0.598001
x452	4.096100659	0.599001
x453	4.090798716	0.600001
x454	4.085492169	0.601001
x455	4.080182418	0.602001
x456	4.074870096	0.603001
x457	4.069552352	0.604001
x458	4.064232406	0.605001
x459	4.058908228	0.606001
x460	4.053580015	0.607001
x461	4.048249528	0.608001
x462	4.042913086	0.609001
x463	4.037574054	0.610001
x464	4.032231326	0.611001
x465	4.026883555	0.612001
x466	4.021533345	0.613001
x467	4.016177735	0.614001
x468	4.010818501	0.615001
x469	4.005456295	0.616001
x470	4.00008784	0.617001
x471	3.994716773	0.618001
x472	3.98934106	0.619001
x473	3.983960479	0.620001
x474	3.978577199	0.621001
x475	3.97318756	0.622001
x476	3.967794468	0.623001
x477	3.962397707	0.624001
x478	3.956994599	0.625001
x479	3.951588603	0.626001
x480	3.94617728	0.627001
x481	3.940760961	0.628001
x482	3.935341659	0.629001
x483	3.929915347	0.630001
x484	3.924485409	0.631001
x485	3.919051441	0.632001
x486	3.913610656	0.633001
x487	3.908166683	0.634001
x488	3.902717076	0.635001
x489	3.897261935	0.636001
x490	3.891803499	0.637001
x491	3.886337818	0.638001
x492	3.880867886	0.639001
x493	3.875394003	0.640001
x494	3.869912354	0.641001
x495	3.864427188	0.642001
x496	3.85893657	0.643001
x497	3.85343935	0.644001
x498	3.847938495	0.645001
x499	3.842430696	0.646001
x500	3.836917443	0.647001
x501	3.831400434	0.648001
x502	3.825875004	0.649001
x503	3.820345247	0.650001
x504	3.814810832	0.651001
x505	3.809268093	0.652001
x506	3.803721347	0.653001
x507	3.79816862	0.654001
x508	3.79260853	0.655001
x509	3.787044299	0.656001
x510	3.7814728	0.657001
x511	3.775894857	0.658001
x512	3.770312632	0.659001
x513	3.764721898	0.660001
x514	3.759125585	0.661001
x515	3.753524844	0.662001
x516	3.747914407	0.663001
x517	3.742299195	0.664001
x518	3.736678729	0.665001
x519	3.731048791	0.666001
x520	3.725414138	0.667001
x521	3.719773257	0.668001
x522	3.714123482	0.669001
x523	3.708468831	0.670001
x524	3.702807057	0.671001
x525	3.697136879	0.672001
x526	3.691461659	0.673001
x527	3.685778507	0.674001
x528	3.680087349	0.675001
x529	3.674390975	0.676001
x530	3.668685956	0.677001
x531	3.662973222	0.678001
x532	3.657255094	0.679001
x533	3.651527713	0.680001
x534	3.645792794	0.681001
x535	3.640052296	0.682001
x536	3.634302055	0.683001
x537	3.628544326	0.684001
x538	3.622780827	0.685001
x539	3.61700722	0.686001
x540	3.61122604	0.687001
x541	3.60543889	0.688001
x542	3.599641408	0.689001
x543	3.593836119	0.690001
x544	3.588024654	0.691001
x545	3.58220278	0.692001
x546	3.576372707	0.693001
x547	3.570536244	0.694001
x548	3.564689458	0.695001
x549	3.558833908	0.696001
x550	3.552971747	0.697001
