Symbol	APOD	CCDC92	CYS1	GSDME	ST8SIA5	STARD3NL	TMEM245	TSPYL5	VAT1
GSM2235624	9.629280634	9.791303368	5.626067202	7.720733321	5.590839999	8.596046221	8.152101075	6.450525286	7.411995091
GSM2235625	13.99914476	10.61488108	5.76244654	8.39105382	5.668383728	8.720797277	9.823144239	7.604455362	7.313678846
GSM2235626	13.25408346	10.31230512	5.629569744	9.377493226	5.748690985	8.497301529	9.190157845	7.853920573	7.899298743
GSM2235627	13.71750902	10.40028354	5.547934746	9.635049649	6.003152978	9.351762656	8.5197119	10.00480408	7.623294318
GSM2235628	8.984296405	10.70736753	5.71567242	9.100339563	5.63001691	8.488946257	9.403522438	8.16043043	8.275821731
GSM2235629	11.96524642	10.17816728	5.640366516	9.434226526	5.785587075	8.612198333	9.113010626	8.520278487	8.09898051
GSM2235630	12.82243164	10.34553634	5.495582684	9.156755304	5.53636021	8.097427184	9.326216301	8.077624524	8.529851193
GSM2235631	11.50752557	10.17762449	5.543029968	8.151405531	5.485316701	7.964963151	9.326216301	7.895023855	7.827928796
GSM2235632	10.58793465	10.52845888	5.562325146	8.530869289	5.508742339	7.91399048	8.484926592	7.352050579	7.372830949
GSM2235633	13.52892886	10.80987692	5.468448389	9.223637033	5.822371273	8.309004834	10.27155425	8.220827628	8.39535154
GSM2235634	12.92478052	8.812828217	5.449243288	7.972760282	5.760071761	8.745119215	9.756636644	6.676553804	7.830399804
GSM2235635	7.756148305	8.806526187	5.61361013	8.910919782	5.907109813	7.379180091	8.990900522	6.645602934	9.255778592
GSM2235636	12.42567781	10.23390423	5.739641698	8.306566881	5.594448707	8.511501556	9.38469537	8.047085718	8.220071694
GSM2235637	9.797560079	9.614288201	5.513500559	6.57570579	5.520770886	6.76884845	9.021678149	6.147686416	7.934635549
GSM2235695	6.077128123	9.751669385	5.694350951	9.599279817	5.924972397	8.486256571	9.475763988	9.109677763	8.233672622
GSM2235696	6.154367863	10.80704957	6.011379317	8.562630109	6.176313581	8.684684226	9.647497831	6.332868893	8.490616386
GSM2235697	7.796767297	10.87094345	5.912385711	9.626809587	6.248074558	8.280337685	10.21950168	9.49827763	9.698707492
